Date,Transactions,Items_Sold,Revenue,Avg_Transaction,Profit,Profit_Margin
2025-08-01,31,61.0,3275,105.64516129032258,726.0,22.2
2025-08-02,46,171.0,12506,271.8695652173913,2453.0,19.6
2025-08-03,56,162.0,11851,211.625,2450.0,20.7
2025-08-04,26,39.0,2949,113.42307692307692,612.0,20.8
2025-08-05,35,53.0,3236,92.45714285714286,689.0,21.3
2025-08-06,36,71.0,3882,107.83333333333333,808.0,20.8
2025-08-07,40,85.0,6369,159.225,1357.0,21.3
2025-08-08,48,106.0,5484,114.25,1181.0,21.5
2025-08-09,42,142.0,6936,165.14285714285714,1503.0,21.7
2025-08-10,47,167.0,8862,188.5531914893617,1832.0,20.7
2025-08-11,24,34.0,1909,79.54166666666667,390.0,20.4
2025-08-12,28,37.0,2231,79.67857142857143,434.0,19.5
2025-08-13,27,44.0,3505,129.8148148148148,735.0,21.0
2025-08-14,38,78.0,5320,140.0,1099.0,20.7
2025-08-15,40,69.0,4390,109.75,893.0,20.3
2025-08-16,54,195.0,10598,196.25925925925927,2225.0,21.0
2025-08-17,35,117.0,6819,194.82857142857142,1478.0,21.7
2025-08-18,26,41.0,1891,72.73076923076923,417.0,22.1
2025-08-19,36,43.0,3102,86.16666666666667,602.0,19.4
2025-08-20,38,72.0,4829,127.07894736842105,1048.0,21.7
2025-08-21,28,55.0,3266,116.64285714285714,699.0,21.4
2025-08-22,38,83.0,5219,137.3421052631579,1126.0,21.6
2025-08-23,52,180.0,10927,210.1346153846154,2256.0,20.6
2025-08-24,46,170.0,7863,170.93478260869566,1629.0,20.7
2025-08-25,34,62.0,3061,90.02941176470588,684.0,22.3
2025-08-26,24,30.0,2231,92.95833333333333,455.0,20.4
2025-08-27,37,74.0,5228,141.2972972972973,1111.0,21.3
2025-08-28,26,49.0,3675,141.34615384615384,738.0,20.1
2025-08-29,32,57.0,3517,109.90625,783.0,22.3
2025-08-30,60,244.0,15082,251.36666666666667,3087.0,20.5
2025-08-31,43,133.0,7374,171.48837209302326,1549.0,21.0
2025-09-01,34,51.0,3258,95.82352941176471,694.0,21.3
2025-09-02,41,87.0,5977,145.78048780487805,1252.0,20.9
2025-09-03,31,66.0,4543,146.5483870967742,963.0,21.2
2025-09-04,37,77.0,3954,106.86486486486487,870.0,22.0
2025-09-05,46,102.0,5156,112.08695652173913,1101.0,21.4
2025-09-06,61,217.0,14310,234.59016393442624,2953.0,20.6
2025-09-07,55,172.0,9161,166.56363636363636,2035.0,22.2
2025-09-08,36,56.0,3296,91.55555555555556,709.0,21.5
2025-09-09,37,72.0,4273,115.48648648648648,939.0,22.0
2025-09-10,39,85.0,4931,126.43589743589743,1011.0,20.5
2025-09-11,36,64.0,4029,111.91666666666667,832.0,20.7
2025-09-12,40,86.0,6115,152.875,1266.0,20.7
2025-09-13,64,246.0,14294,223.34375,2987.0,20.9
2025-09-14,55,168.0,11776,214.1090909090909,2374.0,20.2
2025-09-15,25,39.0,2725,109.0,584.0,21.4
2025-09-16,36,77.0,5216,144.88888888888889,1045.0,20.0
2025-09-17,38,80.0,4397,115.71052631578948,943.0,21.4
2025-09-18,34,61.0,4517,132.85294117647058,929.0,20.6
2025-09-19,51,112.0,5694,111.6470588235294,1214.0,21.3
2025-09-20,54,187.0,12752,236.14814814814815,2697.0,21.1
2025-09-21,43,169.0,7933,184.48837209302326,1676.0,21.1
2025-09-22,29,37.0,2942,101.44827586206897,608.0,20.7
2025-09-23,29,56.0,3777,130.24137931034483,787.0,20.8
2025-09-24,37,70.0,3796,102.5945945945946,773.0,20.4
2025-09-25,27,60.0,3580,132.59259259259258,793.0,22.2
2025-09-26,48,96.0,6022,125.45833333333333,1268.0,21.1
2025-09-27,66,237.0,15447,234.04545454545453,3179.0,20.6
2025-09-28,52,210.0,10225,196.6346153846154,2204.0,21.6
2025-09-29,26,36.0,1966,75.61538461538461,430.0,21.9
2025-09-30,30,59.0,3991,133.03333333333333,788.0,19.7
2025-10-01,37,72.0,4388,118.5945945945946,926.0,21.1
2025-10-02,41,75.0,5016,122.34146341463415,995.0,19.8
2025-10-03,52,103.0,7795,149.90384615384616,1581.0,20.3
2025-10-04,48,172.0,10397,216.60416666666666,2260.0,21.7
2025-10-05,57,178.0,10063,176.5438596491228,2072.0,20.6
2025-10-06,25,42.0,2456,98.24,498.0,20.3
2025-10-07,41,75.0,5324,129.85365853658536,1095.0,20.6
2025-10-08,41,82.0,5601,136.609756097561,1146.0,20.5
2025-10-09,34,69.0,4428,130.23529411764707,890.0,20.1
2025-10-10,44,82.0,5564,126.45454545454545,1114.0,20.0
2025-10-11,67,239.0,16655,248.5820895522388,3422.0,20.5
2025-10-12,45,166.0,9245,205.44444444444446,1945.0,21.0
2025-10-13,36,62.0,3552,98.66666666666667,728.0,20.5
2025-10-14,43,82.0,5888,136.93023255813952,1190.0,20.2
2025-10-15,44,88.0,6734,153.04545454545453,1329.0,19.7
2025-10-16,44,87.0,4728,107.45454545454545,952.0,20.1
2025-10-17,49,92.0,6116,124.81632653061224,1251.0,20.5
2025-10-18,48,157.0,9844,205.08333333333334,1944.0,19.7
2025-10-19,48,163.0,10905,227.1875,2175.0,19.9
2025-10-20,31,69.0,3328,107.35483870967742,721.0,21.7
2025-10-21,32,58.0,3549,110.90625,745.0,21.0
2025-10-22,33,75.0,3395,102.87878787878788,713.0,21.0
2025-10-23,41,68.0,4324,105.46341463414635,909.0,21.0
2025-10-24,107,261.0,18070,168.8785046728972,3727.0,20.6
2025-10-25,63,233.0,13499,214.26984126984127,2834.0,21.0
2025-10-26,61,251.0,13008,213.24590163934425,2625.0,20.2
2025-10-27,25,40.0,2539,101.56,510.0,20.1
2025-10-28,31,65.0,4281,138.09677419354838,908.0,21.2
2025-10-29,39,72.0,6384,163.69230769230768,1261.0,19.8
2025-10-30,41,78.0,5273,128.609756097561,1095.0,20.8
2025-10-31,46,80.0,6224,135.30434782608697,1292.0,20.8
2025-11-01,97,460.0,30542,314.8659793814433,6110.0,20.0
2025-11-02,54,214.0,11836,219.1851851851852,2505.0,21.2
2025-11-03,31,62.0,5180,167.09677419354838,1004.0,19.4
2025-11-04,35,54.0,3828,109.37142857142857,742.0,19.4
2025-11-05,46,93.0,7010,152.3913043478261,1384.0,19.7
2025-11-06,39,82.0,5417,138.89743589743588,1112.0,20.5
2025-11-07,53,104.0,7444,140.45283018867926,1527.0,20.5
2025-11-08,83,303.0,19895,239.6987951807229,4048.0,20.3
2025-11-09,64,244.0,15947,249.171875,3279.0,20.6
2025-11-10,34,65.0,3659,107.61764705882354,778.0,21.3
2025-11-11,46,80.0,6495,141.19565217391303,1353.0,20.8
2025-11-12,56,106.0,7428,132.64285714285714,1576.0,21.2
2025-11-13,49,97.0,6411,130.83673469387756,1335.0,20.8
2025-11-14,67,127.0,9931,148.22388059701493,1988.0,20.0
2025-11-15,73,329.0,17240,236.16438356164383,3617.0,21.0
2025-11-16,76,277.0,15921,209.48684210526315,3368.0,21.2
2025-11-17,47,94.0,5191,110.44680851063829,1064.0,20.5
2025-11-18,39,66.0,3930,100.76923076923077,849.0,21.6
2025-11-19,44,77.0,6058,137.6818181818182,1189.0,19.6
2025-11-20,47,79.0,6765,143.93617021276594,1349.0,19.9
2025-11-21,55,104.0,6140,111.63636363636364,1260.0,20.5
2025-11-22,71,281.0,16710,235.35211267605635,3314.0,19.8
2025-11-23,56,194.0,13025,232.58928571428572,2518.0,19.3
2025-11-24,32,59.0,3891,121.59375,817.0,21.0
2025-11-25,41,76.0,6304,153.7560975609756,1298.0,20.6
2025-11-26,35,76.0,4856,138.74285714285713,1024.0,21.1
2025-11-27,46,81.0,6596,143.3913043478261,1349.0,20.5
2025-11-28,47,89.0,4190,89.14893617021276,861.0,20.5
2025-11-29,54,190.0,11661,215.94444444444446,2298.0,19.7
2025-11-30,58,247.0,13849,238.77586206896552,2879.0,20.8
2025-12-01,41,77.0,4270,104.14634146341463,863.0,20.2
2025-12-02,51,91.0,6804,133.41176470588235,1343.0,19.7
2025-12-03,36,66.0,4562,126.72222222222223,908.0,19.9
2025-12-04,33,67.0,3078,93.27272727272727,660.0,21.4
2025-12-05,48,88.0,4845,100.9375,988.0,20.4
2025-12-06,58,213.0,10908,188.06896551724137,2199.0,20.2
2025-12-07,66,268.0,16485,249.77272727272728,3295.0,20.0
2025-12-08,34,58.0,4570,134.41176470588235,1025.0,22.4
2025-12-09,48,91.0,6639,138.3125,1395.0,21.0
2025-12-10,45,78.0,5350,118.88888888888889,1085.0,20.3
2025-12-11,33,61.0,3835,116.21212121212122,809.0,21.1
2025-12-12,55,106.0,6295,114.45454545454545,1321.0,21.0
2025-12-13,62,241.0,13682,220.67741935483872,2762.0,20.2
2025-12-14,66,236.0,12229,185.28787878787878,2504.0,20.5
2025-12-15,35,70.0,4527,129.34285714285716,980.0,21.6
2025-12-16,37,60.0,4069,109.97297297297297,845.0,20.8
2025-12-17,36,58.0,4345,120.69444444444444,875.0,20.1
2025-12-18,54,98.0,6657,123.27777777777777,1372.0,20.6
2025-12-19,64,114.0,7823,122.234375,1567.0,20.0
2025-12-20,56,219.0,13114,234.17857142857142,2696.0,20.6
2025-12-21,73,290.0,20904,286.35616438356163,4267.0,20.4
2025-12-22,32,62.0,2832,88.5,592.0,20.9
2025-12-23,46,83.0,5976,129.91304347826087,1243.0,20.8
2025-12-24,41,65.0,4157,101.39024390243902,848.0,20.4
2025-12-25,67,167.0,10194,152.1492537313433,2069.0,20.3
2025-12-26,63,124.0,8297,131.6984126984127,1665.0,20.1
2025-12-27,64,266.0,19331,302.046875,3993.0,20.7
2025-12-28,64,237.0,13016,203.375,2747.0,21.1
2025-12-29,37,67.0,3698,99.94594594594595,752.0,20.3
2025-12-30,42,69.0,5841,139.07142857142858,1211.0,20.7
2025-12-31,68,182.0,13207,194.22058823529412,2717.0,20.6
2026-01-01,55,123.0,8410,152.9090909090909,1732.0,20.6
2026-01-02,54,90.0,5520,102.22222222222223,1163.0,21.1
2026-01-03,53,182.0,11429,215.64150943396226,2221.0,19.4
2026-01-04,43,175.0,10662,247.95348837209303,2166.0,20.3
2026-01-05,37,62.0,4091,110.56756756756756,823.0,20.1
2026-01-06,30,49.0,3501,116.7,720.0,20.6
2026-01-07,36,64.0,3300,91.66666666666667,662.0,20.1
2026-01-08,40,85.0,4716,117.9,1019.0,21.6
2026-01-09,51,91.0,6680,130.98039215686273,1399.0,20.9
2026-01-10,59,235.0,14509,245.91525423728814,3048.0,21.0
2026-01-11,52,173.0,10277,197.6346153846154,2062.0,20.1
2026-01-12,37,72.0,4186,113.13513513513513,860.0,20.5
2026-01-13,35,67.0,4621,132.02857142857144,902.0,19.5
2026-01-14,42,69.0,5276,125.61904761904762,1127.0,21.4
2026-01-15,54,103.0,5854,108.4074074074074,1234.0,21.1
2026-01-16,51,90.0,6602,129.45098039215685,1340.0,20.3
2026-01-17,72,286.0,14911,207.09722222222223,3101.0,20.8
2026-01-18,47,174.0,12187,259.29787234042556,2439.0,20.0
2026-01-19,38,73.0,4881,128.44736842105263,1023.0,21.0
2026-01-20,35,66.0,6177,176.4857142857143,1206.0,19.5
2026-01-21,44,83.0,4873,110.75,1013.0,20.8
2026-01-22,37,72.0,4716,127.45945945945945,969.0,20.5
2026-01-23,46,82.0,5936,129.04347826086956,1213.0,20.4
2026-01-24,62,230.0,13537,218.33870967741936,2761.0,20.4
2026-01-25,48,162.0,10441,217.52083333333334,1995.0,19.1
2026-01-26,46,90.0,5761,125.23913043478261,1222.0,21.2
2026-01-27,42,84.0,5120,121.9047619047619,1071.0,20.9
2026-01-28,48,81.0,5327,110.97916666666667,1090.0,20.5
2026-01-29,38,68.0,5457,143.60526315789474,1129.0,20.7
2026-01-30,57,102.0,6127,107.49122807017544,1261.0,20.6
2026-01-31,62,243.0,12569,202.7258064516129,2679.0,21.3
